planid,year,edon,stage,actor,actortype,tla,hasplan,previous_id,win_section8,unanimous_creator,creators,split_difference,competitive_difference,population_difference,win_difference,score_difference,proposer_win_difference,proposer_seat_difference,competitive_margin_difference,proposer_composite_difference,proposer_win_margin,proposer_win_seat,competitive_districts
13.04674-1-2013,2013,1,2,PAN,major,ags,TRUE,12.93313-1-2013,FALSE,FALSE,PAN,0,0,-0.03392767148250918,-0.003175407455626264,0.11360999999999954,-0.0029153058026882284,0,-0.00661091656419055,-0.0029153058026882284,0.07413113283279027,1,1
13.9452-2-2013,2013,2,2,PAN,major,bc,TRUE,14.03767-2-2013,FALSE,FALSE,PAN,0,0,0.012242379696267791,0.0019237163145427588,-0.0924700000000005,0.009258734244392552,0,0.009258734244392552,0.009258734244392552,0.01069963975802618,1,1
70.09024-3-2013,2013,3,2,PAN,major,bcs,TRUE,70.10688-3-2013,FALSE,FALSE,PAN,0,0,0,0,-0.016640000000009536,0,0,0,0,0.054785772743278754,2,0
15.20674-5-2013,2013,5,2,PAN,major,coa,TRUE,16.08623-5-2013,FALSE,FALSE,"INE,PAN,PNA,PRD,PRI,PT,PVEM",0,1,0.08267082646001452,-0.020862217221208415,-0.8794900000000005,-0.02230158231244652,0,0.015563138975117186,89.97769841768755,0.05851237441777298,3,1
15.84462-5-2013,2013,5,2,PAN,major,coa,TRUE,16.08623-5-2013,FALSE,FALSE,PAN,0,0,0.004124497926858442,0.0028203787767208666,-0.24160999999999966,0.0030547531703005726,0,0,0.0030547531703005726,0.08386870990052007,3,0
28.7261-6-2013,2013,6,2,PAN,major,col,TRUE,27.72727-6-2013,FALSE,FALSE,PAN,0,0,0.015503253111999855,0.001490925282352562,0.9988299999999981,0,0,0,0,0,0,0
25.31792-7-2013,2013,7,2,PAN,major,cps,TRUE,17.12048-7-2013,FALSE,FALSE,PAN,0,-1,-0.01564211573562449,0.02059691167399083,8.19744,0,0,-0.012136124781049307,-90,0,0,0
17.02275-7-2013,2013,7,2,PAN,major,cps,TRUE,17.12048-7-2013,FALSE,FALSE,PAN,0,0,0.010761105905404522,3.851055223268174e-4,-0.09773000000000209,0,0,0,0,0,0,1
23.40821-8-2013,2013,8,2,PAN,major,cua,TRUE,20.86347-8-2013,FALSE,TRUE,"MC,PAN,PRD,PRI,PT,PVEM",0,2,0.07344702606132125,0.002144266335581624,2.544740000000001,0.013335255037610516,1,0.016390867784459084,1180.0133352550376,0.013335255037610516,1,2
32.20664-9-2013,2013,9,2,PAN,major,df,TRUE,32.44694-9-2013,FALSE,FALSE,PAN,0,0,0,-0.003173522862500777,-0.24029999999999774,0,0,0,0,0.002654069143225246,1,1
22.47938-10-2013,2013,10,2,PAN,major,dgo,TRUE,19.76378-10-2013,FALSE,FALSE,PAN,-1,0,0.03558757818369998,-4.572645771025452e-4,2.7155999999999985,0,0,0,0,0,0,0
19.05259-11-2013,2013,11,2,PAN,major,gua,TRUE,19.05326-11-2013,FALSE,FALSE,PAN,0,0,0.014318568708800994,1.5144117399602114e-4,-6.70000000003057e-4,-0.004352260017116763,1,-2.6356594531174934e-4,999.9956477399829,0.03937445407994018,10,6
20.92398-12-2013,2013,12,2,PAN,major,gue,TRUE,13.55961-12-2013,FALSE,FALSE,"MC,PAN,PNA,PRD,PRI,PT,PVEM",0,0,0.036554922620568864,0.0021488108347793577,7.364370000000001,0,0,0,0,0,0,0
13.55475-12-2013,2013,12,2,PAN,major,gue,TRUE,13.55961-12-2013,FALSE,FALSE,PAN,0,0,0,8.498216516522605e-6,-0.004859999999998976,0,0,0,0,0,0,0
17.56396-13-2013,2013,13,2,PAN,major,hgo,TRUE,17.98105-13-2013,FALSE,FALSE,PAN,0,1,0.011745848713261495,-0.007522883382416301,-0.4170899999999982,0,0,0.013974630142325695,90,0,0,1
34.19097-14-2013,2013,14,2,PAN,major,jal,TRUE,34.80806-14-2013,TRUE,FALSE,"PAN,PRD",0,0,0.0067891337043302635,-0.0031109873704782964,-0.6170899999999975,7.757703602630506e-4,0,0,7.757703602630506e-4,0.052089642640823774,1,1
43.16865-15-2013,2013,15,2,PAN,major,mex,TRUE,44.50865-15-2013,FALSE,FALSE,PAN,1,1,0,-0.0013957834365296434,-1.3400000000000034,0,0,-0.0011592570403841426,90,0,0,5
16.95091-16-2013,2013,16,2,PAN,major,mic,TRUE,16.96658-16-2013,FALSE,FALSE,PAN,0,0,0,8.475169712816172e-4,-0.015670000000000073,0,0,0,0,0,0,0
12.67938-17-2013,2013,17,2,PAN,major,mor,TRUE,13.34737-17-2013,FALSE,FALSE,PAN,0,0,0,1.0351702592537038e-4,-0.6679899999999996,0,0,0,0,0,0,1
16.2717-18-2013,2013,18,2,PAN,major,nay,TRUE,16.2717-18-2013,FALSE,FALSE,Algorithm,0,0,0,0,0,0,0,0,0,0,0,0
26.01181-19-2013,2013,19,2,PAN,major,nl,TRUE,26.05637-19-2013,FALSE,FALSE,PAN,0,0,-2.6057813720081757e-4,-6.384285461604744e-4,-0.0445600000000006,-6.364627716075877e-4,0,0,-6.364627716075877e-4,0.18390442878908375,4,1
15.72135-20-2013,2013,20,2,PAN,major,oax,TRUE,16.12606-20-2013,FALSE,FALSE,PAN,0,0,-0.005396382846032499,3.122809984523328e-4,-0.4047099999999997,0,0,0,0,0,0,0
17.59838-21-2013,2013,21,2,PAN,major,pue,TRUE,21.50868-21-2013,FALSE,FALSE,"INE,MC,PAN,PNA,PRI,PT,PVEM",0,0,0.011981604300216636,3.144584700626174e-5,-3.9102999999999994,0.0011178178295918606,0,0.004442503943824894,0.0011178178295918606,0.0754867744847232,3,2
17.36249-21-2013,2013,21,2,PAN,major,pue,TRUE,21.50868-21-2013,FALSE,FALSE,PAN,1,0,-0.07393400320889618,-3.561447758106545e-4,-4.146189999999997,-0.014484713150773904,1,-0.001986598159891134,999.9855152868492,0.059884243504357434,4,2
19.51166-22-2013,2013,22,2,PAN,major,que,TRUE,13.53702-22-2013,FALSE,FALSE,PAN,0,1,0.06691736170664886,-0.0022883487103789735,5.974639999999999,-0.003813914517298289,0,0.01313254312005796,89.9961860854827,0.07676153452779926,3,1
13.4282-22-2013,2013,22,2,PAN,major,que,TRUE,13.53702-22-2013,FALSE,FALSE,PAN,0,0,0.004314433811197033,7.256492345911192e-6,-0.1088199999999997,1.209415390984736e-5,0,0,1.209415390984736e-5,0.08058754319900739,3,0
37.37612-23-2013,2013,23,2,PAN,major,qui,TRUE,33.65117-23-2013,FALSE,FALSE,"MC,PAN,PNA,PRI,PVEM",-1,0,0,5.565159668337594e-4,3.7249499999999998,0,0,0,0,0,0,0
33.60785-23-2013,2013,23,2,PAN,major,qui,TRUE,33.65117-23-2013,FALSE,FALSE,PAN,0,0,0.013637426292957888,5.1912233478418335e-6,-0.04332000000000136,0,0,0,0,0,0,0
19.33247-24-2013,2013,24,2,PAN,major,san,TRUE,20.39564-24-2013,FALSE,FALSE,"PAN,PNA,PRD,PT",0,0,0.0034179668726893875,-6.984143248489616e-5,-1.0631699999999995,-0.034084569928161584,1,0.005785179888151304,999.9659154300718,0.07189361329237703,3,1
41.68897-25-2013,2013,25,2,PAN,major,sin,TRUE,42.18728-25-2013,FALSE,FALSE,PAN,0,0,0.00022375733516999396,5.849114417051104e-4,-0.4983100000000036,9.083489211256235e-4,0,0.001816697842251247,9.083489211256235e-4,0.034542522871042286,2,1
41.62749-25-2013,2013,25,2,PAN,major,sin,TRUE,42.18728-25-2013,FALSE,FALSE,PAN,0,0,-0.006838583556133371,9.77242177549631e-4,-0.5597899999999996,0.0013242573943359481,0,0.0026485147886718963,0.0013242573943359481,0.03495843134425261,2,1
16.87657-26-2013,2013,26,2,PAN,major,son,TRUE,16.87901-26-2013,FALSE,FALSE,PAN,0,0,-0.010040989527650396,4.33568782854013e-4,-0.0024399999999999977,6.069962959956154e-4,0,0,6.069962959956154e-4,0.09010430572139369,5,0
