edon,tla,actor,govlevel,stage,Cost Function,Population Deviation,Compactness,Violation Range,Indigenous Districts,splits
1,ags,Algorithm,CNV,1,1.095855,0.010126,1.085729,0,0,0
1,ags,PVEM,CLV,2,1.119916,0.014495,1.105421,0,0,0
1,ags,MORENA,CLV,2,1.120824,0.01028,1.110544,0,0,0
1,ags,PRI,CLV,2,1.249814,0.010159,1.239655,0,0,0
1,ags,MC,CLV,2,1.249814,0.010159,1.239655,0,0,0
1,ags,ES,CLV,2,1.249814,0.010159,1.239655,0,0,0
1,ags,INE,CNV,3,1.095855,0.010126,1.085729,0,0,0
1,ags,PRI,CLV,4,1.249814,0.010159,1.239655,0,0,0
1,ags,PRD,CLV,4,1.249814,0.010159,1.239655,0,0,0
1,ags,PT,CLV,4,1.249814,0.010159,1.239655,0,0,0
1,ags,PVEM,CLV,4,1.249814,0.010159,1.239655,0,0,0
1,ags,MC,CLV,4,1.249814,0.010159,1.239655,0,0,0
1,ags,PNA,CLV,4,1.249814,0.010159,1.239655,0,0,0
1,ags,MORENA,CLV,4,1.249814,0.010159,1.239655,0,0,0
1,ags,ES,CLV,4,1.249814,0.010159,1.239655,0,0,0
1,ags,INE,CNV,5,1.095855,0.010126,1.085729,0,0,0
2,bc,Algorithm,CNV,1,1.96997,0.058628,1.911342,0,0,0
2,bc,PAN,CLV,2,2.036697,0.058566,1.978131,0,0,2
2,bc,PRI,CLV,2,2.036697,0.058566,1.978131,0,0,2
2,bc,PRD,CLV,2,2.036697,0.058566,1.978131,0,0,2
2,bc,PT,CLV,2,2.036697,0.058566,1.978131,0,0,2
2,bc,PVEM,CLV,2,2.036697,0.058566,1.978131,0,0,2
2,bc,MC,CLV,2,2.036697,0.058566,1.978131,0,0,2
2,bc,PNA,CLV,2,2.036697,0.058566,1.978131,0,0,2
2,bc,MORENA,CLV,2,2.036697,0.058566,1.978131,0,0,2
2,bc,ES,CLV,2,2.036697,0.058566,1.978131,0,0,2
2,bc,INE,CNV,3,2.036697,0.058566,1.978131,0,0,2
2,bc,PT,CLV,4,2.036697,0.058566,1.978131,0,0,2
2,bc,PVEM,CLV,4,2.036697,0.058566,1.978131,0,0,2
2,bc,MC,CLV,4,2.036697,0.058566,1.978131,0,0,2
2,bc,PNA,CLV,4,2.036697,0.058566,1.978131,0,0,2
