planid,year,edon,stage,actor,actortype,tla,hasplan,previous_id,win_section8,unanimous_creator,creators,split_difference,competitive_difference,population_difference,win_difference,score_difference,proposer_win_difference,proposer_seat_difference,competitive_margin_difference,proposer_composite_difference,proposer_win_margin,proposer_win_seat,competitive_districts
11.50521-31-2013,2013,31,2,PAN,major,yuc,TRUE,10.4996-31-2013,FALSE,FALSE,PAN,0,0,0.03323049069403025,8.599627732346071e-4,1.0056100000000008,-0.005103308684401786,0,0,-0.005103308684401786,0.035667926333836864,1,0
11.99644-31-2013,2013,31,2,PRD,major,yuc,TRUE,10.4996-31-2013,FALSE,FALSE,"PRD,PT",0,0,0.03323049069403025,8.164910636486167e-4,1.4968400000000006,0,0,0,0,0,0,0
11.03405-31-2013,2013,31,2,PRI,major,yuc,TRUE,10.4996-31-2013,FALSE,FALSE,"PRI,PVEM",0,0,0,4.6804256050020365e-4,0.5344500000000014,5.850532006252546e-4,0,0,5.850532006252546e-4,0.08523273822092406,4,0
11.99644-31-2013,2013,31,2,PT,minor,yuc,TRUE,10.4996-31-2013,FALSE,FALSE,"PRD,PT",0,0,0.03323049069403025,8.164910636486167e-4,1.4968400000000006,0,0,0,0,0,0,0
11.03405-31-2013,2013,31,2,PVEM,minor,yuc,TRUE,10.4996-31-2013,FALSE,FALSE,"PRI,PVEM",0,0,0,4.6804256050020365e-4,0.5344500000000014,0,0,0,0,0,0,0
10.48757-31-2013,2013,31,2,PAN,major,yuc,TRUE,10.4996-31-2013,FALSE,FALSE,PAN,0,0,0.0037026214846581085,-9.24128862973092e-4,-0.012029999999999319,-0.002257346565599727,0,0,-0.002257346565599727,0.03851388845263892,1,0
11.99644-31-2013,2013,31,2,PRD,major,yuc,TRUE,10.4996-31-2013,FALSE,FALSE,"PRD,PT",0,0,0.03323049069403025,8.164910636486167e-4,1.4968400000000006,0,0,0,0,0,0,0
10.47742-31-2013,2013,31,4,PNA,minor,yuc,TRUE,10.48757-31-2013,FALSE,FALSE,"PNA,PRD,PRI,PVEM,MC",0,0,-0.003272916863614639,2.7946315375677877e-4,-0.010149999999999437,0,0,0,0,0,0,0
10.47742-31-2013,2013,31,4,PRD,major,yuc,TRUE,10.48757-31-2013,FALSE,FALSE,"PNA,PRD,PRI,PVEM,MC",0,0,-0.003272916863614639,2.7946315375677877e-4,-0.010149999999999437,0,0,0,0,0,0,0
10.47742-31-2013,2013,31,4,PRI,major,yuc,TRUE,10.48757-31-2013,FALSE,FALSE,"PNA,PRD,PRI,PVEM,MC",0,0,-0.003272916863614639,2.7946315375677877e-4,-0.010149999999999437,1.9733017374387596e-4,0,0,1.9733017374387596e-4,0.08425419075672624,4,0
